Group,Batch,species,peakarea,logpeakarea,Class
DMSO,2,DG(16:0_16:0),640079001.5,29.25367474,DG
DMSO,2,DG(16:0_18:0),196578616.2,27.55053115,DG
DMSO,2,DG(16:0_18:1),4645788024,32.11327618,DG
DMSO,2,DG(16:0_18:2),1489329411,30.47201574,DG
DMSO,2,DG(16:0_18:3),136453260.4,27.02383163,DG
DMSO,2,DG(16:0_20:5),37461926.64,25.15892176,DG
DMSO,2,DG(17:0_18:1),415221361.5,28.62930543,DG
DMSO,2,DG(17:1_18:1),172797434.5,27.36450656,DG
DMSO,2,DG(17:1_18:2),20934566.2,24.31938369,DG
DMSO,2,DG(18:0_18:0),118214879.6,26.8168364,DG
DMSO,2,DG(18:0_18:1),3567298286,31.73218471,DG
DMSO,2,DG(18:0_20:4),135314122.9,27.01173718,DG
DMSO,2,DG(18:0_22:5),181268643.1,27.43355414,DG
DMSO,2,DG(18:1_18:1),5912900542,32.46121886,DG
DMSO,2,DG(18:1_18:2),2879999389,31.42342136,DG
DMSO,2,DG(18:1_18:3),788561433.5,29.55464791,DG
DMSO,2,DG(18:1_20:0),32414590.48,24.95014001,DG
DMSO,2,DG(18:1_20:3),454027696.2,28.75820507,DG
DMSO,2,DG(18:1_20:4),973464942.8,29.85855378,DG
DMSO,2,DG(18:1_20:5),163427775.7,27.28407796,DG
DMSO,2,DG(18:1_22:5),362876386.9,28.43490294,DG
DMSO,2,DG(18:1_22:6),36041446.29,25.10315357,DG
DMSO,2,DG(18:2_18:3),66081481.46,25.97774269,DG
DMSO,2,HBMP(16:0_18:1_14:0),19637573.78,24.22711336,HBMP
DMSO,2,HBMP(16:0_18:1_16:0),431408739.6,28.68448016,HBMP
DMSO,2,HBMP(16:0_18:2_16:0),113834567.6,26.76236348,HBMP
DMSO,2,HBMP(16:0_20:4_16:0),51129071.96,25.6076405,HBMP
DMSO,2,HBMP(18:0_18:1_16:0),251725710.1,27.90727733,HBMP
DMSO,2,HBMP(18:0_18:1_18:0),25711966.66,24.61593663,HBMP
DMSO,2,HBMP(18:0_18:2_18:1),120704851.9,26.84690843,HBMP
DMSO,2,HBMP(18:0_18:3_18:1),68966723.05,26.03939708,HBMP
DMSO,2,HBMP(18:1_18:1_16:0),452401733.5,28.75302922,HBMP
DMSO,2,HBMP(18:1_18:1_18:0),102087688.3,26.60523365,HBMP
DMSO,2,HBMP(18:1_18:2_16:0),220275264,27.71473225,HBMP
DMSO,2,HBMP(18:1_20:4_16:0),27878356.25,24.73264216,HBMP
DMSO,2,LPC(18:1),8221813.714,22.97102525,LPC
DMSO,2,PC(14:0_16:0),2962569238,31.46420173,PC
DMSO,2,PC(14:0_16:1),225196074.9,27.74660644,PC
DMSO,2,PC(14:0_18:1),12225130691,33.50913084,PC
DMSO,2,PC(14:0_18:2),1022428966,29.92935347,PC
DMSO,2,PC(15:0_16:0),1489011073,30.47170734,PC
DMSO,2,PC(15:0_18:1),5852261881,32.44634718,PC
DMSO,2,PC(15:0_18:2),740184208.8,29.46330912,PC
DMSO,2,PC(16:0_16:0),21132931439,34.29877385,PC
DMSO,2,PC(16:0_17:0),1302579803,30.27872462,PC
DMSO,2,PC(16:0_18:1),1.06E+11,36.62527331,PC
DMSO,2,PC(16:0_18:2),25108164079,34.54743749,PC
DMSO,2,PC(16:0_20:4),8259058987,32.94333027,PC
DMSO,2,PC(16:0_22:5),8465106916,32.97888114,PC
DMSO,2,PC(16:0_22:6),1959063087,30.86751671,PC
DMSO,2,PC(17:0_18:1),6898290990,32.68359184,PC
DMSO,2,PC(17:0_18:2),1205549097,30.16704326,PC
DMSO,2,PC(18:0_18:0),916197787.1,29.77108384,PC
DMSO,2,PC(18:0_20:4),3594692270,31.74322113,PC
DMSO,2,PC(18:0_22:5),2039856572,30.92582057,PC
